,全氮(%),全磷(%),全钾(%),group,source_type,name
0,1.8797,0.1257,1.3122,1,single,1-9
2,2.111,0.1522,1.2242,1,single,1-19
0,1.9979,0.255187525479005,1.72176926212801,1,complex,1
1,2.7346,0.1428,1.7936,1,single,1-18
3,2.1978,0.2322,2.2131,2,single,2-6
4,2.325,0.2655,2.1643,2,single,2-11
5,1.735,0.2026,0.9542,2,single,2-19
1,2.0969,0.393769816106531,1.72701331642359,2,complex,2
2,2.099,0.354353233830846,2.19289914066033,3,complex,3
6,1.7117,,,3,single,3-7
7,2.194,0.2308,2.8244,3,single,3-16
8,2.1276,0.2051,2.487,3,single,3-20
3,1.874,0.474175093134646,1.79536987759446,4,complex,4
9,1.5144,0.4152,2.1314,4,single,4-9
11,1.6745,0.2608,1.3649,4,single,4-17
10,1.5382,0.3296,2.2219,4,single,4-13
14,1.8844,0.2645,2.3255,5,single,5-19
13,2.0464,0.2758,2.1112,5,single,5-16
4,1.9441,0.371208346309561,1.7430706944877,5,complex,5
12,2.027,0.2143,2.3731,5,single,5-7
15,2.1057,0.1468,1.7986,6,single,6-7
16,1.6755,0.1415,2.8127,6,single,6-9
17,1.8043,0.1401,1.4219,6,single,6-13
5,2.3911,0.268316028552888,1.58890330953926,6,complex,6
18,1.9583,0.176,0.78,7,single,7-7
19,1.9775,0.2616,1.2456,7,single,7-13
20,1.996,0.1773,0.9683,7,single,7-18
6,2.0425,0.274915860328145,1.44026083298275,7,complex,7
23,2.16,0.2919,2.7004,8,single,8-18
22,2.4605,0.2521,2.3906,8,single,8-12
21,1.9883,0.2663,2.2471,8,single,8-8
7,2.2274,0.416747159090909,1.83153409090909,8,complex,8
8,2.496,0.255358126721763,1.65206611570248,9,complex,9
26,2.5942,0.1675,1.587,9,single,9-16
25,2.4109,0.2001,2.3142,9,single,9-14
24,2.6092,0.1664,1.9408,9,single,9-7
9,2.1212,0.253161563355738,1.49290515309933,10,complex,10
28,1.8884,0.2368,1.7285,10,single,10-11
